,full_text,sentiment,insight
0,I cant see a war between two countries Israel and Palestine as some people call it What I see is two country destroying its way of living its infrastructure and cowardly killing innocent people from a distance without any mercy,Negative,sadly
1,Free palestine,Positive,supportPalestine
2,Now I know why hitla cleaned yall out free Palestine hamsas isreal FreePalaestine,Positive,supportPalestine
3,Their going to flatten Palestine pave it over and build a parking lot over all the Palestinian bodies So you should go stand with Palestine in Palestine,Neutral,supportPalestine
4,You seemed fine when it was just palestine bombing and invading Israel‍️ completely silent when all that was happening…,Positive,war
5,Youre deep state dont pretend Free Palestine,Negative,supportPalestine
6,Palestine should burn ,Neutral,war
7,How it feels retweeting your nugu favs comeback amidst the Palestine and Israel situation: ,Neutral,wonder
8,Maybe we ship them all off to Palestine Just a suggestion ,Neutral,peace
9,From the river to the sea Palestine will be free 🇵🇸🇵🇸🇵🇸 ,Positive,supportPalestine
10,🇮🇱 ISRAËL | 🇵🇸 PALESTINE ] « Personne ne peut nous entraîner dans la guerre à moins que lennemi israélien ne nous attaque et alors nous serons obligés de nous défendre » Gebran Bassil Président du Courant patriotique libre un parti politique allié du Hezbollah ,Neutral,government_war
11,Omg search engine will show you things with both words thats what search engines do It doesnt mean Country of Palestine existed or that those articles say that Only that it has both words in an article and thats clearly going to happen Learn how internet works ,Positive,supportPalestine
12,Pulling out a severely injured girl from under the rubble of a shopping mall bombed by lsraeli warplanes in central Gaza ,Negative,war
13,Im still waiting for the DA leader John Steenhuisen to post his pictures next to the destroyed buildings in Palestine urging countries to put pressure on peace and end Apartheid and the killing of children by the state of Israel PalestineUnderAttack palestine🇯🇴… ,Negative,peace
14,You guys killed 3000000 civilians in the past 2 decades just for oil… if anyone is evil its neither Israel or Palestine Its you,Negative,against_israel
15,It was because of not because of you being super neutral You have never been neutral nor defended the civilians that were killed in Palestine YOU need to be canceled Piers Morgan,Negative,selfdefend
16,Ünlü oyuncu Jason Statham arabasına Filistin bayrağı astı JasonStatham BREAKING Palestine ,Neutral,conflict
17,I stand with Palestine 🇵🇸 GenocideSupporters,Neutral,supportPalestine
18,The graph actually makes Bernie look better lmao $0 of this money came from PACs,Positive,government_war
19,امام شافعی فرماتے ہیں قرآن مجید میں ایک ایسی ایت بھی ہے جو ظالم کے دل میں تیر اور مظلوم کے دل پر رکھا ہوا مرہم ہے وہ کونسی؟ وَمَا كَانَ رَبُّكَ نَسِيًّا *اور تیرا پروردگار بھولنے والا نہیں* (سورہ مریم) *O my beloved oppressed brothers and sisters Palestine,Positive,peace
20,I dont know how to tell you this Alex but even the beach is being shelled in Gaza and its not something new Massacres have occurred on the Gaza beach over the past twenty years due to Israeli airstrikes,Neutral,wonder
21,I have no concept of a human being condoning what Hamas/Palestine did,Negative,wonder
22,wait where did this all stem from ,Neutral,wonder
23,So scary hamas help us Thalapathy68 Gaza Hamas VisitIsrael AlQassam,Negative,supportPalestine
24,No sense just clinkity clankity So from me saying he showed kindness by seeing that she was uncomfortable and HELPING her means i says she should have stayed under the rubble yet YOU who saw FOUR men helping dig her out the rubble and said ‘OPPRESSORS ok darling,Positive,supportPalestine
25,You are killing innocent children and women in Palestine,Negative,sadly
26,This M0nkey is War Criminal in Palestine The Whole World very curses you Netanyahu ,Negative,war
27,Israel will vanish from the map of the world if they will not stop their terrorism in Palestine,Positive,peace
28,Palestine will be free 🇵🇸🇵🇸🇵🇸,Positive,supportPalestine
29,Scottish Labours called for a peace process and a two state solution that offers peace freedom and security to the people of Israel and peace freedom and security to the people of Palestine It may feel so far away but I still believe in the cause of peace ,Positive,peace
30,Hamas are NOT terrorists They did not overthrow any government using violence they did not blow up any buildings LEARN US LAW before you talk Israel overthrew Palestines government using violence Israel blows up buildings ISRAEL ARE THE TERRORISTS WAKE UP,Negative,war
31,The only solution is for the Europeans that came to Palestine 🇵🇸 for refuge Bcos of Hitlers war to return to Europe where they came from case closed The Palestinians will be able once again live in peace And the illegal settlers will resettle peacefully in Europe and US,Positive,peace
